message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.6724,message_0243;message_0102;message_0101
msg_091,mute,scam,"Suspicious or scam-like content detected, so the message should be muted.",0.65,message_0238
msg_090,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,none
msg_048,mute,scam,"Suspicious or scam-like content detected, so the message should be muted.",0.65,message_0151
msg_040,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0136
msg_075,digest,business_update,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.6568,message_0206;message_0205
msg_005,digest,urgent,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.6607,message_0065;message_0382;message_0049
msg_104,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0383;message_0224;message_0232
msg_069,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0080;message_0177;message_0193
msg_107,mute,scam,"Suspicious or scam-like content detected, so the message should be muted.",0.65,message_0213;message_0235;message_0056
msg_070,mute,scam,"Suspicious or scam-like content detected, so the message should be muted.",0.65,message_0369;message_0213;message_0235
msg_003,notify,urgent,Strong historical relevance and engagement suggest this message deserves immediate attention.,0.7221,message_0400;message_0031;message_0061
msg_099,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0227;message_0249;message_0055
msg_008,digest,business_update,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0296;message_0072;message_0071
msg_092,digest,business_update,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,none
msg_060,digest,promotion,"The promotional message appears legitimate but is not urgent, so it can be shown later.",0.65,none
msg_004,notify,business_update,Strong historical relevance and engagement suggest this message deserves immediate attention.,0.6989,message_0245;message_0005;message_0064
msg_030,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0115;message_0335;message_0050
msg_045,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,none
msg_052,mute,urgent,The message has low relevance or elevated risk for this user.,0.65,message_0208;message_0207;message_0159
msg_009,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0074
msg_071,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,none
msg_016,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0024
msg_065,digest,promotion,"The promotional message appears legitimate but is not urgent, so it can be shown later.",0.65,message_0261;message_0185
msg_038,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0131
msg_086,notify,business_update,Strong historical relevance and engagement suggest this message deserves immediate attention.,0.652,message_0222
msg_014,mute,promotion,Promotional content matches a pattern of low engagement or user disinterest.,0.66,message_0258;message_0018;message_0017
msg_094,digest,promotion,"The promotional message appears legitimate but is not urgent, so it can be shown later.",0.65,none
msg_029,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0113;message_0095;message_0332
msg_105,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0373;message_0233
msg_002,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0003;message_0041;message_0059
msg_010,digest,business_update,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.6563,message_0011;message_0242;message_0075
msg_078,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,none
msg_013,digest,promotion,"The promotional message appears legitimate but is not urgent, so it can be shown later.",0.65,none
msg_018,mute,forward,Repeated forwarded content has low priority and is suitable for suppression.,0.65,message_0026
msg_044,mute,scam,"Suspicious or scam-like content detected, so the message should be muted.",0.65,message_0143
msg_032,digest,personal,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.65,message_0119;message_0285
msg_106,digest,urgent,The message appears legitimate but does not show enough urgency or relevance for an immediate notification.,0.6703,message_0376;message_0234
